iter	Passed	Remaining
0	1	106
1	1	96
2	2	93
3	3	87
4	4	89
5	5	89
6	6	88
7	7	85
8	8	85
9	9	87
10	10	87
11	11	86
12	12	85
13	13	82
14	14	81
15	15	80
16	16	80
17	17	79
18	18	78
19	19	78
20	20	77
21	21	77
22	23	77
23	24	76
24	25	76
25	26	75
26	27	74
27	28	72
28	29	71
29	30	70
30	31	69
31	32	68
32	33	68
33	34	67
34	35	66
35	37	65
36	37	64
37	38	63
38	39	62
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	45	55
45	46	54
46	47	53
47	48	52
48	49	51
49	50	50
50	51	49
51	52	48
52	52	46
53	53	45
54	54	44
55	55	43
56	56	42
57	57	41
58	58	40
59	59	39
60	61	39
61	62	38
62	63	37
63	64	36
64	65	35
65	66	34
66	67	33
67	68	32
68	69	31
69	70	30
70	71	29
71	72	28
72	73	27
73	74	26
74	75	25
75	76	24
76	77	23
77	78	22
78	79	21
79	80	20
80	80	18
81	81	17
82	82	16
83	83	15
84	84	14
85	85	13
86	86	12
87	87	11
88	88	10
89	88	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
