iter	Passed	Remaining
0	1	1715
1	4	2048
2	6	2227
3	8	2177
4	9	1975
5	10	1802
6	12	1826
7	13	1733
8	14	1646
9	16	1641
10	17	1597
11	23	1966
12	25	1970
13	28	2023
14	29	1968
15	32	1978
16	33	1925
17	34	1876
18	35	1831
19	38	1908
20	40	1874
21	41	1836
22	42	1792
23	46	1885
24	47	1865
25	50	1891
26	54	1963
27	56	1977
28	59	1997
29	60	1967
30	62	1938
31	63	1909
32	64	1885
33	66	1885
34	70	1934
35	71	1910
36	72	1887
37	75	1905
38	76	1888
39	78	1873
40	79	1855
41	81	1864
42	85	1900
43	87	1893
44	88	1872
45	89	1855
46	90	1837
47	91	1819
48	92	1801
49	93	1784
50	95	1771
51	96	1767
52	98	1760
53	100	1761
54	101	1751
55	103	1743
56	104	1730
57	105	1716
58	106	1700
59	107	1686
60	108	1670
61	109	1653
62	110	1641
63	112	1639
64	113	1627
65	114	1623
66	116	1625
67	118	1618
68	119	1607
69	119	1594
70	121	1583
71	121	1570
72	122	1559
73	123	1548
74	124	1535
75	126	1543
76	128	1535
77	129	1526
78	130	1517
79	130	1506
80	131	1496
81	132	1487
82	133	1475
83	134	1466
84	135	1460
85	136	1452
86	137	1444
87	138	1438
88	144	1476
89	145	1475
90	147	1471
91	148	1465
92	149	1459
93	151	1455
94	151	1447
95	152	1439
96	154	1436
97	156	1440
98	159	1451
99	161	1453
100	163	1451
101	164	1443
102	164	1436
103	165	1429
104	166	1421
105	167	1413
106	168	1405
107	169	1398
108	171	1403
109	173	1401
110	175	1401
111	176	1400
112	177	1393
113	178	1387
114	179	1380
115	180	1374
116	181	1366
117	182	1361
118	183	1355
119	184	1352
120	186	1353
121	187	1347
122	188	1344
123	190	1343
124	191	1343
125	192	1338
126	193	1331
127	194	1324
128	195	1318
129	196	1311
130	196	1306
131	197	1300
132	198	1295
133	200	1294
134	201	1291
135	202	1289
136	204	1286
137	205	1284
138	206	1279
139	207	1273
140	208	1268
141	208	1261
142	209	1255
143	210	1249
144	210	1243
145	211	1238
146	212	1233
147	213	1231
148	215	1232
149	218	1235
150	220	1239
151	222	1241
152	224	1240
153	225	1238
154	226	1236
155	227	1233
156	229	1233
157	231	1233
158	233	1232
159	235	1235
160	236	1232
161	238	1231
162	239	1227
163	240	1225
164	241	1223
165	242	1220
166	244	1219
167	246	1220
168	248	1222
169	250	1225
170	252	1223
171	253	1221
172	254	1218
173	256	1215
174	257	1212
175	258	1209
176	260	1210
177	262	1210
178	264	1211
179	266	1212
